input_size,block_size,merge_s-1,merge_s-22,merge_s-57,merge_s-101,merge_s-611
5000,250,0,0.000659,0.000679,0.000666,0.000657
5000,500,0.000694,0.000735,0.000679,0.00068,0.000707
5000,1000,0.000721,0.000721,0.000764,0.000766,0
5000,2500,0.000833,0.000775,0.000787,0.000862,0.00078
15000,750,0.002259,0.002386,0.002287,0.002217,0
15000,1500,0.002358,0.002357,0.002405,0.002481,0.002412
15000,3000,0.002513,0.002499,0.002619,0.002498,0.002547
15000,7500,0.002639,0.002759,0.002651,0.002851,0.002645
25000,1250,0.003963,0.004068,0.00398,0.003986,0.004155
25000,2500,0.00424,0.004524,0.004247,0.004256,0.004226
25000,5000,0.004662,0.004914,0.004487,0.004481,0.004451
25000,12500,0.004771,0.004666,0.004826,0.004724,0.004815
35000,1750,0.005926,0.005934,0.005893,0.005848,0.002895
35000,3500,0.006545,0.006279,0.00625,0.006167,0.006165
35000,7000,0.007066,0.006408,0.00658,0.006536,0.006435
35000,17500,0.006989,0.007027,0.00695,0.006964,0.007128
45000,2250,0.008174,0.007797,0.007834,0.008884,0.007957
45000,4500,0.008578,0.007453,0.008201,0.008237,0.008818
45000,9000,0.008733,0.009046,0.008669,0.00873,0.008792
45000,22500,0.009336,0.009247,0.009322,0.00974,0.009556
55000,2750,0.009912,0.008702,0.009719,0.008924,0.009702
55000,5500,0.010367,0.009509,0.010226,0.010076,0.01015
55000,11000,0.010854,0.010789,0.011027,0.010753,0.011426
55000,27500,0.011123,0.0116,0.0118,0.011575,0.01033
65000,3250,0.011786,0.011843,0.011628,0.011876,0.011711
65000,6500,0.011344,0.012333,0.012413,0.012464,0.012783
65000,13000,0.01293,0.013307,0.012844,0.013427,0.013038
65000,32500,0.013812,0.01406,0.013845,0.01395,0.014367
75000,3750,0.014165,0.013896,0.013296,0.013723,0.013862
75000,7500,0.015307,0.014818,0.014977,0.015051,0.014496
75000,15000,0.015523,0.015235,0.015388,0.016404,0.015443
75000,37500,0.01643,0.014473,0.017519,0.017255,0.016471
85000,4250,0.015941,0.014072,0.014315,0.015792,0.015753
85000,8500,0.016734,0.016803,0.016592,0.014621,0.017164
85000,17000,0.017576,0.017231,0.01758,0.017551,0.017577
85000,42500,0.019544,0.018686,0.019029,0.019027,0.019472
95000,4750,0.018394,0.018021,0.018536,0.018116,0.019017
95000,9500,0.017929,0.019092,0.019926,0.019008,0.018887
95000,19000,0.02032,0.020533,0.019904,0.020185,0.019888
95000,47500,0.024093,0.021367,0.021204,0.020179,0.02201
105000,5250,0.020095,0.020828,0.020185,0.019357,0.020406
105000,10500,0.02145,0.021481,0.021663,0.021257,0.020383
105000,21000,0.022633,0.022437,0.024458,0.022405,0.022295
105000,52500,0.02347,0.023829,0.02378,0.024443,0.024724
115000,5750,0.023286,0.022469,0.021947,0.022796,0.023917
115000,11500,0.023421,0.023762,0.024183,0.024113,0.023433
115000,23000,0.023457,0.025142,0.024794,0.025945,0.02623
115000,57500,0.026584,0.026788,0.026828,0.023137,0.026218
125000,6250,0.025931,0.025302,0.026187,0.025013,0.024338
125000,12500,0.026418,0.025764,0.025248,0.026616,0.025766
125000,25000,0.027901,0.027396,0.027405,0.027176,0.027177
125000,62500,0.029006,0.028924,0.029188,0.028225,0.028857
135000,6750,0.026736,0.030725,0.026921,0.026953,0.026843
135000,13500,0.027907,0.029336,0.030213,0.028051,0.030397
135000,27000,0.029501,0.030337,0.029693,0.03,0.028721
135000,67500,0.031456,0.031376,0.032235,0.031964,0.031092
145000,7250,0.029109,0.02949,0.029443,0.028487,0.028888
145000,14500,0.030533,0.030529,0.030338,0.033153,0.030459
145000,29000,0.032292,0.033372,0.034294,0.031387,0.03313
145000,72500,0.037125,0.031332,0.034948,0.034067,0.034447
150000,7500,0.030002,0.031767,0.03062,0.03016,0.030399
150000,15000,0.030994,0.032281,0.032062,0.031644,0.031758
150000,30000,0.034692,0.033251,0.033482,0.033529,0.034163
150000,75000,0.038385,0.037935,0.035743,0.036623,0.037057
300000,15000,0.070937,0.068194,0.067409,0.069035,0.07666
300000,30000,0.071132,0.073421,0.070846,0.071397,0.069732
300000,60000,0.074889,0.077409,0.075897,0.075409,0.075688
300000,150000,0.08125,0.08051,0.085494,0.078614,0.079628
600000,30000,0.150165,0.15913,0.153819,0.152836,0.152332
600000,60000,0.159814,0.16099,0.16539,0.163767,0.162699
600000,120000,0.173616,0.170575,0.173675,0.167801,0.173282
600000,300000,0.218548,0.205183,0.205725,0.200118,0.197106
1200000,60000,0.344198,0.349029,0.364676,0.344068,0.345426
1200000,120000,0.367323,0.377843,0.373441,0.37222,0.369601
1200000,240000,0.413302,0.418074,0.431628,0.423339,0.41236
1200000,600000,0.494654,0.509693,0.498193,0.510822,0.49994
2400000,120000,0.817835,0.809626,0.787373,0.804531,0.816943
2400000,240000,0.900326,0.905504,0.928141,0.883309,0.93232
2400000,480000,1.04393,1.04573,1.02454,1.04668,1.04646
2400000,1200000,1.21128,1.20684,1.23691,1.22551,1.22924
4800000,240000,1.92928,1.92861,1.91499,1.98958,1.90586
4800000,480000,2.29284,2.32421,2.32629,2.30736,2.3031
4800000,960000,2.55136,2.58461,2.59596,2.61626,2.59215
4800000,2400000,2.86093,2.84074,2.83959,2.83431,2.8483
9600000,480000,5.00924,4.9925,4.98674,4.96444,4.99984
9600000,960000,5.58973,5.62371,5.64011,5.59424,5.63268
9600000,1920000,6.12752,6.11235,6.08999,6.03457,6.0803
9600000,4800000,6.48884,6.46481,6.62925,6.47496,6.47023
19200000,960000,12.1993,12.1141,12.8297,12.8567,12.9645
19200000,1920000,13.7196,13.7671,13.6301,13.8754,14.4204
19200000,3840000,14.6954,14.5835,15.0366,14.6744,15.0379
19200000,9600000,15.4508,15.3799,15.403,15.2676,14.8926
